country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"DTU, Delhi - CPCB","12-04-2026 20:00:00",28.7500499,77.1112615,NO2,9,24,17
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","12-04-2026 20:00:00",23.107969,72.574648,NO2,6,117,31
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","12-04-2026 20:00:00",23.107969,72.574648,NH3,1,11,8
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","12-04-2026 20:00:00",23.107969,72.574648,CO,23,120,28
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","12-04-2026 20:00:00",23.107969,72.574648,OZONE,1,121,92
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","12-04-2026 20:00:00",22.977134,72.553024,SO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","12-04-2026 20:00:00",22.977134,72.553024,OZONE,1,65,53
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","12-04-2026 20:00:00",23.020509,72.579261,PM2.5,71,325,160
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","12-04-2026 20:00:00",23.020509,72.579261,NH3,7,11,9
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","12-04-2026 20:00:00",23.016834,72.625775,NH3,2,10,3
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","12-04-2026 20:00:00",23.016834,72.625775,SO2,13,125,49
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","12-04-2026 20:00:00",23.041137,72.456691,NO2,5,87,26
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","12-04-2026 20:00:00",23.023389,72.515201,PM2.5,95,305,162
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","12-04-2026 20:00:00",23.023389,72.515201,PM10,112,199,138
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","12-04-2026 20:00:00",28.621810,77.1944633,PM2.5,23,335,108
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","12-04-2026 20:00:00",28.621810,77.1944633,SO2,18,34,25
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","12-04-2026 20:00:00",28.672342,77.315260,CO,39,105,45
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","12-04-2026 20:00:00",28.570173,76.933762,CO,8,108,10
India,Delhi,Delhi,"Narela, Delhi - DPCC","12-04-2026 20:00:00",28.822836,77.101981,NO2,5,56,21
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","12-04-2026 20:00:00",28.567890,77.250515,NH3,5,15,10
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","12-04-2026 20:00:00",28.6514781,77.1473105,PM2.5,79,331,184
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","12-04-2026 20:00:00",28.710508,77.249485,OZONE,2,58,55
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","12-04-2026 20:00:00",28.6573814,77.1585447,CO,24,107,28
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","12-04-2026 20:00:00",28.674045,77.131023,PM10,84,263,141
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","12-04-2026 20:00:00",28.563262,77.186937,PM10,84,335,155
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","12-04-2026 20:00:00",28.563262,77.186937,NO2,1,250,27
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","12-04-2026 20:00:00",23.076793,72.627874,OZONE,2,100,82
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","12-04-2026 20:00:00",28.699793,77.165453,OZONE,2,69,42
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","12-04-2026 20:00:00",28.422681,77.148944,PM2.5,7,330,135
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","12-04-2026 20:00:00",28.422681,77.148944,CO,27,66,30
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","12-04-2026 20:00:00",28.4227,77.0667,NH3,6,10,8
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","12-04-2026 20:00:00",28.4227,77.0667,SO2,2,9,4
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","12-04-2026 20:00:00",28.4275,77.1465,OZONE,10,38,22
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","12-04-2026 20:00:00",28.4501238,77.0263051,NO2,9,46,26
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","12-04-2026 20:00:00",29.140560,75.744941,PM2.5,4,49,17
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","12-04-2026 20:00:00",29.140560,75.744941,PM10,96,268,135
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","12-04-2026 20:00:00",29.140560,75.744941,NH3,13,13,13
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","12-04-2026 20:00:00",29.140560,75.744941,CO,48,101,52
India,Haryana,Jind,"Police Lines, Jind - HSPCB","12-04-2026 20:00:00",29.307814,76.337619,PM10,56,131,87
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","12-04-2026 20:00:00",28.6701,76.9254,OZONE,23,27,25
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","12-04-2026 20:00:00",28.3419248,77.319699,PM10,126,361,221
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","12-04-2026 20:00:00",28.806223,76.141105,NH3,5,11,10
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","12-04-2026 20:00:00",28.806223,76.141105,SO2,1,11,5
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","12-04-2026 20:00:00",28.806223,76.141105,CO,2,7,2
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","12-04-2026 20:00:00",28.593883,76.270653,CO,6,25,13
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","12-04-2026 20:00:00",28.206800,76.799700,NH3,9,26,19
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","12-04-2026 20:00:00",22.248853,70.776774,OZONE,5,16,14
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","12-04-2026 20:00:00","21.217779 ","72.834787 ",PM10,60,136,86
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","12-04-2026 20:00:00","21.217779 ","72.834787 ",NH3,1,1,1
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","12-04-2026 20:00:00","21.217779 ","72.834787 ",CO,37,96,41
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","12-04-2026 20:00:00",21.755417,72.139056,NH3,3,4,3
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","12-04-2026 20:00:00",21.755417,72.139056,SO2,5,8,6
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","12-04-2026 20:00:00",23.163798,72.677768,PM2.5,50,155,94
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","12-04-2026 20:00:00",28.376058,77.315741,PM10,109,316,181
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","12-04-2026 20:00:00",28.376058,77.315741,CO,40,40,40
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","12-04-2026 20:00:00",29.503664,75.467934,PM2.5,49,131,75
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","12-04-2026 20:00:00",23.593150,72.372792,PM10,58,161,120
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","12-04-2026 20:00:00",23.593150,72.372792,NO2,34,50,42
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","12-04-2026 20:00:00",23.593150,72.372792,CO,53,64,55
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","12-04-2026 20:00:00",23.243639,72.68994,NO2,6,36,17
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","12-04-2026 20:00:00",23.243639,72.68994,SO2,2,8,4
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","12-04-2026 20:00:00",22.320153,73.216285,NO2,11,35,20
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","12-04-2026 20:00:00","21.217779 ","72.834787 ",OZONE,11,12,11
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","12-04-2026 20:00:00",29.536400,75.015800,PM10,30,364,99
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","12-04-2026 20:00:00",29.027200,77.062100,NO2,12,13,12
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","12-04-2026 20:00:00",29.027200,77.062100,CO,31,56,48
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","12-04-2026 20:00:00",30.1480566,77.2893471,NH3,1,6,4
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","12-04-2026 20:00:00",30.1480566,77.2893471,CO,24,50,49
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","12-04-2026 20:00:00",30.943887,76.801991,PM10,77,211,116
